Batch Size,Initial Time,Initial Peak Memory,Initial Loss,Sequential Time,Sequential Peak Memory,Sequential Loss,Total Loss
1,0.07331967353820801,11.78,0.02,20.3038969039917,11.5,0.026046,0.02635
2,0.06716394424438477,11.78,0.02,18.17106795310974,591.58,0.025646,0.02595
3,0.07140684127807617,11.78,0.02,13.166627645492554,572.25,0.02544,0.02584
4,0.0733344554901123,11.78,0.02,10.431496143341064,562.59,0.025478,0.02578
5,0.07559490203857422,11.78,0.02,8.868489980697632,556.79,0.025734,0.02604
10,0.06659865379333496,11.78,0.02,5.504048824310303,551.02,0.025854,0.02624
15,0.06667399406433105,11.78,0.02,4.372037410736084,549.12,0.025984,0.02622
20,0.06900358200073242,11.78,0.019,3.7085981369018555,553.99,0.025452,0.02577
25,0.06481742858886719,11.78,0.02,3.4147768020629883,554.6,0.025557,0.02604
30,0.06536722183227539,11.78,0.02,3.0604465007781982,556.95,0.025523,0.0259
35,0.06597208976745605,11.78,0.022,3.6616246700286865,558.64,0.026198,0.02651
40,0.0672905445098877,11.78,0.02,3.537513256072998,559.93,0.02544,0.0258
45,0.06756830215454102,11.78,0.021,3.3110318183898926,562.27,0.026374,0.02668
50,0.06724381446838379,11.78,0.021,3.1881070137023926,565.32,0.026018,0.02632
55,0.07440376281738281,11.78,0.021,3.051128387451172,566.77,0.026172,0.02655
60,0.06839418411254883,11.78,0.02,2.941511631011963,569.93,0.0264,0.02666
65,0.0660855770111084,11.78,0.021,3.266732931137085,572.51,0.025967,0.02635
70,0.0684044361114502,11.78,0.02,3.192075490951538,573.79,0.02635,0.02681
75,0.0677649974822998,11.78,0.02,3.148184299468994,576.17,0.026325,0.02663
80,0.06743264198303223,11.78,0.02,3.048304796218872,577.61,0.025996,0.02633
85,0.06759476661682129,11.78,0.021,2.984610080718994,580.82,0.025799,0.02619
90,0.06652545928955078,11.78,0.02,2.9268181324005127,583.64,0.026229,0.02669
95,0.06689071655273438,11.78,0.02,2.8753013610839844,585.17,0.026347,0.02678
100,0.06771516799926758,11.78,0.02,3.1497206687927246,588.19,0.025515,0.02593
